Tool;MutantSet;Source;Mutant;RunIndex;PhaseName;MetricName;MetricValue
Epsilon;single;random10.bibtex;13;0;Run;Memory;11068488
Epsilon;single;random10.bibtex;13;0;Run;Problems;1
Epsilon;single;random10.bibtex;14;0;Initialization;Time;971909751
Epsilon;single;random10.bibtex;14;0;Initialization;Memory;8169184
Epsilon;single;random10.bibtex;14;0;Load;Time;363979053
Epsilon;single;random10.bibtex;14;0;Load;Memory;5513208
Epsilon;single;random10.bibtex;14;0;Run;Time;493933054
Epsilon;single;random10.bibtex;14;0;Run;Memory;11060872
Epsilon;single;random10.bibtex;14;0;Run;Problems;1
Epsilon;single;random10.bibtex;15;0;Initialization;Time;914908613
Epsilon;single;random10.bibtex;15;0;Initialization;Memory;8177944
Epsilon;single;random10.bibtex;15;0;Load;Time;351170979
Epsilon;single;random10.bibtex;15;0;Load;Memory;6153048
Epsilon;single;random10.bibtex;15;0;Run;Time;503146752
Epsilon;single;random10.bibtex;15;0;Run;Memory;11067976
Epsilon;single;random10.bibtex;15;0;Run;Problems;1
Epsilon;single;random10.bibtex;16;0;Initialization;Time;802589203
Epsilon;single;random10.bibtex;16;0;Initialization;Memory;8178584
Epsilon;single;random10.bibtex;16;0;Load;Time;327820637
Epsilon;single;random10.bibtex;16;0;Load;Memory;5520480
Epsilon;single;random10.bibtex;16;0;Run;Time;508674540
Epsilon;single;random10.bibtex;16;0;Run;Memory;11067368
Epsilon;single;random10.bibtex;16;0;Run;Problems;0
Epsilon;single;random10.bibtex;17;0;Initialization;Time;874234371
Epsilon;single;random10.bibtex;17;0;Initialization;Memory;8177632
Epsilon;single;random10.bibtex;17;0;Load;Time;323947625
Epsilon;single;random10.bibtex;17;0;Load;Memory;5519528
Epsilon;single;random10.bibtex;17;0;Run;Time;480568050
Epsilon;single;random10.bibtex;17;0;Run;Memory;11066200
Epsilon;single;random10.bibtex;17;0;Run;Problems;0
Epsilon;single;random10.bibtex;18;0;Initialization;Time;834983243
Epsilon;single;random10.bibtex;18;0;Initialization;Memory;8178344
Epsilon;single;random10.bibtex;18;0;Load;Time;371155425
Epsilon;single;random10.bibtex;18;0;Load;Memory;5519400
Epsilon;single;random10.bibtex;18;0;Run;Time;599078287
Epsilon;single;random10.bibtex;18;0;Run;Memory;11067456
Epsilon;single;random10.bibtex;18;0;Run;Problems;1
Epsilon;single;random10.bibtex;19;0;Initialization;Time;821952771
Epsilon;single;random10.bibtex;19;0;Initialization;Memory;8177536
Epsilon;single;random10.bibtex;19;0;Load;Time;339421271
Epsilon;single;random10.bibtex;19;0;Load;Memory;5519800
Epsilon;single;random10.bibtex;19;0;Run;Time;508409960
Epsilon;single;random10.bibtex;19;0;Run;Memory;11085264
Epsilon;single;random10.bibtex;19;0;Run;Problems;21
Epsilon;single;random10.bibtex;20;0;Initialization;Time;875909055
Epsilon;single;random10.bibtex;20;0;Initialization;Memory;8176792
Epsilon;single;random10.bibtex;20;0;Load;Time;362806077
Epsilon;single;random10.bibtex;20;0;Load;Memory;5518736
Epsilon;single;random10.bibtex;20;0;Run;Time;615895682
Epsilon;single;random10.bibtex;20;0;Run;Memory;11065136
Epsilon;single;random10.bibtex;20;0;Run;Problems;0
Epsilon;single;random10.bibtex;21;0;Initialization;Time;835849635
Epsilon;single;random10.bibtex;21;0;Initialization;Memory;8177608
Epsilon;single;random10.bibtex;21;0;Load;Time;337614045
Epsilon;single;random10.bibtex;21;0;Load;Memory;5519920
Epsilon;single;random10.bibtex;21;0;Run;Time;425406178
Epsilon;single;random10.bibtex;21;0;Run;Memory;11068128
Epsilon;single;random10.bibtex;21;0;Run;Problems;0
Epsilon;single;random10.bibtex;22;0;Initialization;Time;858825316
Epsilon;single;random10.bibtex;22;0;Initialization;Memory;6230632
Epsilon;single;random10.bibtex;22;0;Load;Time;389191411
Epsilon;single;random10.bibtex;22;0;Load;Memory;5520440
Epsilon;single;random10.bibtex;22;0;Run;Time;540513378
Epsilon;single;random10.bibtex;22;0;Run;Memory;11071272
Epsilon;single;random10.bibtex;22;0;Run;Problems;1
Epsilon;single;random10.bibtex;23;0;Initialization;Time;886486770
Epsilon;single;random10.bibtex;23;0;Initialization;Memory;8177376
Epsilon;single;random10.bibtex;23;0;Load;Time;358157928
Epsilon;single;random10.bibtex;23;0;Load;Memory;5517488
Epsilon;single;random10.bibtex;23;0;Run;Time;498456848
Epsilon;single;random10.bibtex;23;0;Run;Memory;11067000
Epsilon;single;random10.bibtex;23;0;Run;Problems;0
